category,@id,name,description,supersededBy,nameZh,descriptionZh,alternateName,wikidataName,wikidataUrl,wikipediaUrl,schemaorgUrl
property,http://cnschema.org/height,height,The height of the item.,,高度,高度,,,,https://en.wikipedia.org/wiki/Height,http://schema.org/height
property,http://cnschema.org/highPrice,highPrice,The highest price of all offers available.,,最高价,最高价格,,,,,http://schema.org/highPrice
property,http://cnschema.org/hiringOrganization,hiringOrganization,Organization offering the job position.,,招聘机构,提供工作职位的机构,,,,,http://schema.org/hiringOrganization
property,http://cnschema.org/homeLocation,homeLocation,A contact location for a person's residence.,,家庭地址,家庭联系地址,家庭住址,,,,http://schema.org/homeLocation
property,http://cnschema.org/homeTeam,homeTeam,The home team in a sports event.,,主队,体育运动中的主队,主场对,,,,http://schema.org/homeTeam
property,http://cnschema.org/honorificPrefix,honorificPrefix,An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.,,姓名前面的敬语,放在姓名前面的敬语,,honorific prefix,http://www.wikidata.org/entity/P511,https://en.wikipedia.org/wiki/Honorific_prefixes,http://schema.org/honorificPrefix
property,http://cnschema.org/honorificSuffix,honorificSuffix,An honorific suffix preceding a Person's name such as M.D. /PhD/MSCSW.,,姓名后面的敬语,放在姓名后面的敬语,,honorific suffix,http://www.wikidata.org/entity/P1035,https://en.wikipedia.org/wiki/Honorific_suffix,http://schema.org/honorificSuffix
property,http://cnschema.org/hostingOrganization,hostingOrganization,"The organization (airline, travelers' club, etc.) the membership is made with.",,会员服务提供者,航空公司，旅游俱乐部等提供会员资格的组织,,,,,http://schema.org/hostingOrganization
property,http://cnschema.org/hoursAvailable,hoursAvailable,The hours during which this service or contact is available.,,服务时间,该服务或联系人可用的时间。,,,,,http://schema.org/hoursAvailable
property,http://cnschema.org/httpMethod,httpMethod,An HTTP method that specifies the appropriate HTTP method for a request to an HTTP EntryPoint. Values are capitalized strings as used in HTTP.,,http方法,例如GET，POST,,,,https://en.wikipedia.org/wiki/HTTP_method,http://schema.org/httpMethod
property,http://cnschema.org/iataCode,iataCode,IATA identifier for an airline or airport.,,国际航空运输协会代码,国际航空运输协会代码,,IATA airport code,https://www.wikidata.org/entity/P238,https://en.wikipedia.org/wiki/IATA_code,http://schema.org/iataCode
property,http://cnschema.org/icaoCode,icaoCode,ICAO identifier for an airport.,,国际民航组织机场代码,国际民航组织机场代码,,ICAO airport code,https://www.wikidata.org/entity/P239,https://en.wikipedia.org/wiki/International_Civil_Aviation_Organization_airport_code,http://schema.org/icaoCode
property,http://cnschema.org/identifier,identifier,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.",,标识符,标识符,,,,https://en.wikipedia.org/wiki/Identifier,http://schema.org/identifier
property,http://cnschema.org/illustrator,illustrator,The illustrator of the book.,,插图绘制者,书籍的插图绘制者,插图,illustrator,http://www.wikidata.org/entity/P110,https://en.wikipedia.org/wiki/Illustrator,http://schema.org/illustrator
